email_id,employee_id,event_type,event_dtm
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,c39b5bbc-bb58-4457-81f0-f9de849e4c62,DELIVERY,2020-10-09 03:52:03
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,aec95046-5f10-41e2-93be-129cb1fd3b46,DELIVERY,2020-10-08 05:00:38
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,aec95046-5f10-41e2-93be-129cb1fd3b46,OPEN,2020-10-09 04:25:39
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,aec95046-5f10-41e2-93be-129cb1fd3b46,CLICK,2020-10-08 06:58:35
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,92e48b80-244b-405e-ba82-36c01f63067e,DELIVERY,2020-10-08 06:58:52
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,0ae81843-49e0-41bc-b6d1-553d8deaf6a0,DELIVERY,2020-10-09 05:35:26
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,1b40a4b7-eb87-4eb7-b59a-b4c697c207da,DELIVERY,2020-10-09 03:53:34
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,e5c368b3-bc99-44ac-a6eb-45c16c79dda3,DELIVERY,2020-10-09 02:31:09
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,d7ad5bc6-eec3-4988-aa0d-27d9f5629207,DELIVERY,2020-10-08 06:44:05
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,fb05eeaf-a308-4757-91c6-86213d5d2e3b,DELIVERY,2020-10-09 06:24:39
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,9ae2e032-86ac-438f-9fc9-1dd06841759f,DELIVERY,2020-10-09 06:31:52
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,9ae2e032-86ac-438f-9fc9-1dd06841759f,OPEN,2020-10-09 07:41:01
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,ad7fad70-d340-4f1c-8b16-a0c08ce1931f,DELIVERY,2020-10-10 01:54:00
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,35fb08df-469a-4689-a07a-46dd83ecacf3,DELIVERY,2020-10-08 12:57:28
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,be557dd0-c305-4716-8f5b-15f14dcd841f,DELIVERY,2020-10-09 02:13:05
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,be557dd0-c305-4716-8f5b-15f14dcd841f,OPEN,2020-10-09 03:57:15
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,be557dd0-c305-4716-8f5b-15f14dcd841f,CLICK,2020-10-08 12:07:44
